experiment,fault,fault_type,mode,mode_name,seed,n_baseline,n_pre_test,n_post_test,baseline_fraction_of_pre,true_negatives,false_positives,false_negatives,true_positives,auc_roc,average_precision,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,sustained_detection,detection_delay_from_nominal_midpoint_s,median_index_pre,median_index_post
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),42,178,179,357,0.49859943977591037,171,8,0,357,1.0,1.0,1.0,0.9893541644764191,1.0,0.9553072625698324,0.9143005344134072,0.9771821799082285,0.9776536312849162,0.9666276538556295,True,0.0,0.3116648568472943,776.3264281014082
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),71,178,179,357,0.49859943977591037,174,5,0,357,1.0,1.0,1.0,0.9893541644764191,1.0,0.9720670391061452,0.9362870793666515,0.9880109495925905,0.9860335195530726,0.9791019858967704,True,0.0,0.2992869917205054,787.9475918835586
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),101,178,179,357,0.49859943977591037,173,6,0,357,1.0,1.0,1.0,0.9893541644764191,1.0,0.9664804469273743,0.9288107184545821,0.9845488722921246,0.9832402234636872,0.9749387485924883,True,0.0,0.2781151485394487,847.4730060077167
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),13,180,180,359,0.5,176,4,7,352,0.9955896007428042,0.9980422448808004,0.9805013927576601,0.9603050272381884,0.9905234726838371,0.9777777777777777,0.944263669857449,0.9913250765730094,0.9791395852677189,0.9543880245720281,True,0.1599841295302502,0.2917609978331075,18709.431010984594
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),29,180,180,359,0.5,175,5,7,352,0.9937635406994739,0.9973911699274729,0.9805013927576601,0.9603050272381884,0.9905234726838371,0.9722222222222222,0.936631929551566,0.9880778779669105,0.9763618074899412,0.950124692354746,True,0.1599841295302502,0.31992169592200903,45654.68111831517
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),42,180,180,359,0.5,173,7,6,353,0.9950170225936242,0.9978123357056337,0.9832869080779945,0.9640222446127882,0.9923183045841477,0.9611111111111111,0.9219152218849264,0.981036707809586,0.9721990095945527,0.9457160910366534,True,0.11998802383620077,0.33482281860963525,18175.103470106318
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),71,180,180,359,0.5,173,7,6,353,0.9967811822965026,0.9985210314098889,0.9832869080779945,0.9640222446127882,0.9923183045841477,0.9611111111111111,0.9219152218849264,0.981036707809586,0.9721990095945527,0.9457160910366534,True,0.11998802383620077,0.3406499763475651,26506.372538017895
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),101,180,180,359,0.5,176,4,6,353,0.994661095636026,0.9977131843389881,0.9832869080779945,0.9640222446127882,0.9923183045841477,0.9777777777777777,0.944263669857449,0.9913250765730094,0.980532342927886,0.9584430097295402,True,0.11998802383620077,0.2946619030799823,41972.71195612511
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),13,180,180,359,0.5,173,7,343,16,0.6682141751779636,0.7555160560700215,0.04456824512534819,0.027616813846542607,0.0711631297056245,0.9611111111111111,0.9219152218849264,0.981036707809586,0.5028396781182297,0.013252378114167653,False,,0.33644277078442886,0.43797809476134025
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),29,180,180,359,0.5,173,7,347,12,0.6788300835654597,0.7637638164249303,0.033426183844011144,0.01922273884624874,0.05750900760627718,0.9611111111111111,0.9219152218849264,0.981036707809586,0.49726864747756117,-0.013970525946681727,False,,0.3028724236563055,0.43515334240496867
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),42,180,180,359,0.5,170,10,326,33,0.6789538842463634,0.7704671634259623,0.09192200557103064,0.06620240971577014,0.12628237150987195,0.9444444444444444,0.9007683865825439,0.9695467263760221,0.5181832250077375,0.06330081759262002,True,3.9995580796787804,0.39840335555488393,0.5531735022158879
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),71,180,180,359,0.5,171,9,332,27,0.6785205818632003,0.7597060806677056,0.07520891364902507,0.0522000720781507,0.10721241349802962,0.95,0.9077191903535553,0.9734748615169928,0.5126044568245125,0.0476214225524736,True,5.07944771396408,0.3459960847167814,0.5006304520047493
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),101,180,180,359,0.5,171,9,335,24,0.666078613432374,0.7516752462130116,0.06685236768802229,0.04533281627847047,0.09754352147297898,0.95,0.9077191903535553,0.9734748615169928,0.5084261838440112,0.033152186321787236,False,,0.3123891188096133,0.4327969369153511
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),13,180,180,359,0.5,179,1,341,18,0.7177499226245745,0.8176151668591956,0.05013927576601671,0.03194770799639833,0.07785633410558934,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.5222918601052305,0.11402007153651574,False,,0.34880447997690767,0.519465758433078
