model,component,magnitude,empirical_cdf,log_magnitude,weibull_y,position_method
ae_denso,fusivel_ac,0.44,0.4147121535181245,-0.8209805520698302,-0.6242715019459787,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.45,0.4431414356787501,-0.7985076962177716,-0.5353847532635048,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.46,0.46801705756929746,-0.7765287894989963,-0.46022146579178047,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.48,0.4893390191897666,-0.7339691750802004,-0.3974235012815874,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.49,0.5035536602700793,-0.7133498878774648,-0.356275197537437,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.52,0.5106609808102358,-0.6539264674066639,-0.33589277002046247,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.53,0.515991471215353,-0.6348782724359695,-0.32068368303749434,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.54,0.5284292821606267,-0.616186139423817,-0.2854363249087094,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.56,0.5390902629708612,-0.579818495252942,-0.25546912133193445,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.5700000000000001,0.5461975835110174,-0.5621189181535411,-0.23560413589681412,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.58,0.5621890547263693,-0.5447271754416722,-0.1911991338332882,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.59,0.5799573560767601,-0.527632742082372,-0.14225615467360592,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.6,0.6048329779673074,-0.5108256237659907,-0.07424223654421787,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.61,0.6421464108031282,-0.4942963218147801,0.027256488859397035,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.62,0.6812366737739881,-0.4780358009429998,0.13392439405294215,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.63,0.720326936744848,-0.4620354595965587,0.24226672372097807,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.64,0.7469793887704345,-0.4462871026284195,0.3179331056255897,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.65,0.7629708599857862,-0.4307829160924542,0.36434598039176447,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.66,0.7860696517412944,-0.4155154439616658,0.43314823156454924,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.67,0.8109452736318415,-0.40047756659712525,0.5102567109654045,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.68,0.8251599147121542,-0.3856624808119846,0.5561145349432931,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.6900000000000001,0.8393745557924669,-0.3710636813908319,0.6035944267381564,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.7000000000000001,0.864250177683014,-0.3566749439387323,0.69161682469641,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.71,0.883795309168444,-0.342490308946776,0.7665844588524607,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.72,0.9051172707889129,-0.3285040669720361,0.856588955296521,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.73,0.9335465529495384,-0.31471074483970024,0.9974111186379089,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.74,0.9495380241648901,-0.3011050927839216,1.0941139128205182,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.75,0.9566453447050465,-0.2876820724517809,1.1436943778269568,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.77,0.9690831556503199,-0.2613647641344075,1.2460128430068114,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.78,0.9815209665955935,-0.2484613592984996,1.384071522216218,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.79,0.9868514570007108,-0.23572233352106983,1.465901048757454,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.85,0.990405117270789,-0.16251892949777494,1.536119708383435,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.87,0.9939587775408671,-0.13926206733350766,1.631032833321559,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.88,0.9975124378109453,-0.12783337150988489,1.7911679757667909,modified_KM_NIST_grouped_ties
ae_lstm,fusivel_ac,0.02,0.014925373134328276,-3.912023005428146,-4.19718310309743,modified_KM_NIST_grouped_ties
ae_lstm,fusivel_ac,0.29,0.030916844349680117,-1.2378743560016174,-3.460792785638753,modified_KM_NIST_grouped_ties
