model,model_name,seed,is_reference,experiment,fault,fault_type,mode,mode_name,n_commissioning,n_pre_fault_test,n_post_fault_test,fault_boundary_method,score_threshold,score_top_k,threshold_requested_percentile,threshold_effective_percentile,auc_pr,auc_roc,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,f1,precision,precision_defined,recall,false_positive_rate,tn,fp,fn,tp
ae_lstm,AE-LSTM,29,False,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,21.43026351928711,5,99.9,100.0,0.9634063749719988,0.9095481275147014,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
ae_lstm,AE-LSTM,42,True,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,18.583059310913086,5,99.9,100.0,0.9660820819907301,0.919374806561436,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
ae_lstm,AE-LSTM,71,False,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,23.55827522277832,5,99.9,100.0,0.9644127403361311,0.9131847725162489,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
ae_lstm,AE-LSTM,101,False,F2M,2,Falha de 20% em sensor de fase,M,MPPT (potência máxima),180,180,359,nominal_mid_record,20.811450958251953,5,99.9,100.0,0.9638391926016587,0.9148406066233364,0.7938718662952646,0.7490214699083066,0.8324997285947293,1.0,0.9791045020783868,1.0,0.8969359331476323,0.7500575724179619,0.8850931677018633,1.0,True,0.7938718662952646,0.0,180,0,74,285
ae_denso,Autoencoder Denso,13,False,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,6.9307708740234375,5,99.9,100.0,0.8362724437921714,0.688780722312361,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_denso,Autoencoder Denso,29,False,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,4.722944259643555,5,99.9,100.0,0.8379442550783336,0.6874286401057629,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_denso,Autoencoder Denso,42,True,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,5.104478359222412,5,99.9,100.0,0.8348620982792829,0.6795264707649781,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_denso,Autoencoder Denso,71,False,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,5.563272953033447,5,99.9,100.0,0.8385103787819841,0.6863770206117421,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_denso,Autoencoder Denso,101,False,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,5.649452209472656,5,99.9,100.0,0.8430273473578143,0.6956913647016405,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_lstm,AE-LSTM,13,False,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,25.407878875732422,5,99.9,100.0,0.8200877350356073,0.649269875608437,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_lstm,AE-LSTM,29,False,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,21.43026351928711,5,99.9,100.0,0.8243247651646468,0.6517637161228292,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_lstm,AE-LSTM,42,True,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,18.583059310913086,5,99.9,100.0,0.813304865456823,0.6306411874286401,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_lstm,AE-LSTM,71,False,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,23.55827522277832,5,99.9,100.0,0.8123107460283217,0.6277867916591551,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_lstm,AE-LSTM,101,False,F3L,3,Afundamentos intermitentes de tensão,L,IPPT (potência limitada),129,129,258,nominal_mid_record,20.811450958251953,5,99.9,100.0,0.8159345933404327,0.6301904933597741,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,0.43636363636363634,1.0,True,0.27906976744186046,0.0,129,0,186,72
ae_denso,Autoencoder Denso,13,False,F3M,3,Afundamentos intermitentes de tensão,M,MPPT (potência máxima),87,87,174,nominal_mid_record,6.9307708740234375,5,99.9,100.0,0.7235787305190995,0.5332936979785969,0.07471264367816093,0.04417947281230249,0.12361862679045275,1.0,0.9577124930558795,0.9999999999999999,0.5373563218390804,0.16189403145068332,0.13903743315508021,1.0,True,0.07471264367816093,0.0,87,0,161,13
ae_denso,Autoencoder Denso,29,False,F3M,3,Afundamentos intermitentes de tensão,M,MPPT (potência máxima),87,87,174,nominal_mid_record,4.722944259643555,5,99.9,100.0,0.7261507070766285,0.5390408244153785,0.07471264367816093,0.04417947281230249,0.12361862679045275,1.0,0.9577124930558795,0.9999999999999999,0.5373563218390804,0.16189403145068332,0.13903743315508021,1.0,True,0.07471264367816093,0.0,87,0,161,13
